Class-A;Class-B-L1;Class-B-dims-nearer;Class-B-within-stddev;Class-B-excl-within-stddev
n07693725;n07695742;n02776631;n07695742;n07695742
n04086273;n04090263;n04090263;n04090263;n03527444
n02113799;n02113712;n02113712;n02113712;n02113712
n01614925;n01608432;n01608432;n01608432;n01608432
n01630670;n01631663;n01631663;n01631663;n01631663
n02110185;n02109961;n02109961;n02109961;n02110063
n03345487;n04461696;n04461696;n04461696;n03417042
n03467068;n03976657;n03976657;n03976657;n03697007
n02088364;n02089867;n02089867;n02089867;n02089867
n02939185;n03259280;n03259280;n04596742;n04596742
n07753592;n07718472;n07718472;n07717556;n07718472
n02391049;n04476259;n04476259;n04476259;n02128925
n02481823;n02480855;n02480855;n02480855;n02480855
n02106030;n02105855;n02105855;n02105855;n02105855
n01806143;n04033901;n04033901;n04033901;n02018795
n07768694;n07753113;n07753113;n07753113;n07753113
n02797295;n02747177;n03967562;n03633091;n03649909
n02814860;n02894605;n02894605;n02894605;n02894605
n01847000;n01855672;n01855672;n01855672;n01855032
n02206856;n04286575;n02219486;n04286575;n02364673
n07742313;n07753113;n07753113;n07753113;n07720875
n02066245;n02071294;n02071294;n02071294;n02071294
n02099712;n02099601;n02111500;n02099601;n02099601
n02130308;n02128385;n02128385;n02128385;n02128385
n01443537;n02641379;n02641379;n02641379;n01632777
n02410509;n02408429;n02403003;n02408429;n02408429
n02480855;n02481823;n02481823;n02481823;n02481823
n02051845;n02006656;n02006656;n02006656;n02006656
n07753275;n07718747;n07718747;n07718747;n07718747
n02950826;n04008634;n04008634;n04008634;n04310018
n02088238;n02088364;n02088364;n02088364;n02088364
n02086240;n02098413;n02098413;n02098413;n02098413
n02088094;n02105251;n02105251;n02105251;n02105251
n01644373;n01644900;n01644900;n01644900;n01644900
n07873807;n07875152;n07875152;n07875152;n07875152
n02843684;n03127925;n03127925;n04254120;n02727426
n01833805;n02206856;n02206856;n02206856;n01843065
n04275548;n01773797;n01773797;n01773549;n01773797
n01632777;n01630670;n01630670;n01630670;n01630670
n01784675;n01990800;n01990800;n01990800;n01990800
n02110958;n02112706;n02112706;n02108422;n02112706
n02219486;n02206856;n02206856;n02206856;n01774384
n02325366;n02326432;n02326432;n02326432;n02326432
n02447366;n02441942;n02441942;n02441942;n02445715
n02808440;n04493381;n04493381;n04493381;n04493381
n09472597;n09193705;n09193705;n09193705;n09193705
n01694178;n01693334;n01693334;n01693334;n01688243
n01986214;n01978455;n01978455;n01978455;n01978455
n02346627;n02363005;n02363005;n02363005;n01872401
n03630383;n04317175;n04317175;n04376876;n04591157
n02112137;n02112018;n02112018;n02112018;n02112018
n04552348;n04592741;n04592741;n04592741;n04266014
n04325704;n03980874;n03980874;n03980874;n03980874
n01944390;n01945685;n01945685;n01945685;n01945685
n02445715;n02447366;n02447366;n02447366;n02447366
n02108915;n02096585;n02096585;n02096585;n02096585
n02233338;n02229544;n02229544;n02206856;n02167151
n03773504;n04008634;n04008634;n04008634;n04008634
n07749582;n07747607;n07747607;n07747607;n07747607
n01494475;n01491361;n01484850;n01491361;n01491361
n02749479;n04090263;n04090263;n04090263;n04090263
n01514859;n01514668;n01514668;n01514668;n01514668
n02480495;n02480855;n02481823;n02481823;n02481823
n02906734;n04367480;n04367480;n04367480;n03876231
n02085620;n02087046;n02087046;n02087046;n02107312
n03494278;n03666591;n07615774;n03372029;n03666591
n03930630;n03594945;n04461696;n03594945;n03777568
n02113023;n02113186;n02113186;n02113186;n02113186
n02117135;n02116738;n02116738;n02116738;n02116738
n02483362;n02488291;n02488291;n02488291;n02488291
n03495258;n02672831;n02672831;n02672831;n02672831
n01910747;n04286575;n04286575;n04286575;n01930112
n07714571;n04286575;n03991062;n02206856;n07715103
n02129604;n02123159;n02123159;n02123159;n02128757
n02077923;n02444819;n02444819;n02444819;n02444819
n02279972;n02281406;n02281406;n02281406;n02281406
n03649909;n02797295;n04482393;n04482393;n03444034
n02437616;n02437312;n02437312;n02437312;n02437312
n02112018;n02086079;n02086079;n02112137;n02112137
n02607072;n01914609;n01914609;n01914609;n01914609
n02398521;n02395406;n02395406;n02395406;n01698640
n03272010;n02676566;n02676566;n02676566;n02676566
n01534433;n01530575;n01530575;n01532829;n01530575
n02129165;n02127052;n02127052;n02129604;n02129604
n01843383;n01829413;n01829413;n01829413;n01829413
n04310018;n02950826;n02950826;n02950826;n02950826
n07718472;n07716358;n07716358;n07716358;n07716358
n07745940;n07768694;n07768694;n07579787;n07768694
n04389033;n03478589;n03478589;n03478589;n03478589
n02099601;n02099712;n02099712;n02099712;n02111500
n03947888;n03216828;n03216828;n03216828;n04147183
n02088466;n02090379;n02090379;n02090379;n02088238
n02672831;n03495258;n03495258;n04515003;n04515003
n04465501;n04428191;n04428191;n04428191;n04428191
n04522168;n03950228;n03950228;n03950228;n04560804
n02236044;n02231487;n02231487;n02231487;n02231487
n02091134;n02091032;n02091032;n02091032;n02091032
n04254680;n04118538;n04118538;n03445777;n04118538
n02486410;n02487347;n02487347;n02487347;n02487347
n02097298;n02097130;n02097130;n02097130;n02097130
n01484850;n01491361;n01491361;n01491361;n01491361
n02356798;n02137549;n02137549;n02361337;n02361337
n01860187;n01855672;n01855672;n01855672;n02018207
n03372029;n03838899;n03838899;n03838899;n03838899
n02948072;n04286575;n03666591;n02776631;n04456115
n01855672;n01847000;n01847000;n03976657;n01847000
n04141076;n03838899;n03838899;n03838899;n03838899
n01882714;n02500267;n02500267;n02500267;n02500267
n02091032;n02091134;n02091134;n02091134;n02091134
n07614500;n07836838;n07836838;n07836838;n07836838
n02980441;n03877845;n03781244;n03877845;n02018207
n01498041;n01496331;n01496331;n01496331;n01496331
n07695742;n07693725;n07693725;n07693725;n07693725
n02092339;n02100583;n02100583;n02100583;n02100583
n02951358;n03873416;n03873416;n03873416;n03873416
n02165456;n02169497;n02169497;n02169497;n02169497
